CPUs	Nodes	NodesxCPU	COLROW	Day1 Timing (sec)	Day2 Timing (sec)	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	Scaling	IdealScaling	Efficiency
18	1	1x18	3x6	13525.66	12107.02	25632.68	3.56	no	$.3168/hr * 1 nodes * 7.12 =	$2.26 	3.186/hr * 1 nodes * 7.12 =	22.68	with -march=native compiler flag	shared	2693.671	1	1	100
36	1	1x36	6x6	7349.06	6486.37	13835.43	1.92	no	$.3168/hr * 1 nodes * 3.84 =	$1.22 	3.186/hr * 1 nodes * 3.84 =	12.23	with -march=native compiler flag	/shared	2693.67	1.852684015	2	92.63420074
40	1	1x40	4x10	6685.74	5935.01	12620.75	1.75	no	$.3168/hr * 1 nodes * 3.5 =	$1.11 	3.168/hr * 1 nodes * 3.5 =	11	with -march=native compiler flag	/shared	2693.671	2.030994988	2.222222222	91.39477448
72	2	2x36	8x9	4090.8	3549.6	7640.4	1.06	no	$.3168/hr * 2 nodes * 2.12 =	$1.34 	3.168/hr * 2 nodes * 2.12 =	13.4	with -march=native compiler flag	/shared	2693.763	3.354887179	4	83.87217947
108	3	3x36	9x12	2912.59	2551.08	5463.67	0.758	no	$.3168/hr * 3 nodes * 1.517 =	$1.44 	3.168/hr * 3 nodes * 1.517 =	14.41	with -march=native compiler flag	/shared	2693.672	4.691476608	6	78.1912768
126	7	7x18	9x14	2646.52	2374.21	5020.73	0.69	no	$.3168/hr * 7 nodes * 1.517 =	$3.36 	3.168/hr * 7 nodes * 1.517 =	33.64	with -march=native compiler flag	/shared	2693.761	5.10536914	7	72.93384485
144	4	4x36	12x12	2449.39	2177.28	4626.67	0.64	no	$.3168/hr * 4 nodes * 1.285 =	$1.63 	3.168/hr * 4 nodes * 1.285 =	16.28	with -march=native compiler flag	/shared	2693.672	5.540200619	8	69.25250774
180	5	5x36	10x18	2077.22	1851.77	3928.99	0.545	no	$.3168/hr * 5 nodes * 1.09 =	$1.72 	3.168/hr * 5 nodes * 1.09 =	17.26	with -march=native compiler flag	/shared	2693.805	6.523987081	10	65.23987081
216	6	6x36	18x12	1908.15	1722.07	3630.22	0.504	no	$.3168/hr * 6 nodes * 1.01 =	$1.92 	3.168/hr * 6 nodes * 1.01 =	19.16	with -march=native compiler flag	/shared	2693.671	7.060916418	12	58.84097015
288	8	8x36	16x18	1750.36	1593.29	3343.65	0.464	no	$.3168/hr * 8 nodes * .928 =	$2.35 	3.168/hr * 8 nodes * .928 =	39.54	with -march=native compiler flag	/shared	2693.783	7.66607749	16	47.91298431
