Number of PEs 	#Nodesx#CPU 	NPCOLxNPROW 	Day1 Timing (sec) 	Day2 Timing (sec) 	Total Time(2days)(sec) 	CPU Hours/day 	SBATCH --exclusive 	Data Imported or Copied 	Answers Matched 	Cost using Spot Pricing 	Cost using On Demand Pricing 	compiler flag 	i/o dir
18 	1x18 	3x6 	13525.66 	12107.02 	25632.68 	3.56 	no 	copied 	yes 				/shared/data
36 	1x36 	6x6 	7349.06 	6486.37 	13835.43 	1.92 	no 	copied 	yes 	$.3168/hr * 1 nodes * 3.84 = $1.22 	3.186/hr * 1 nodes * 3.84 = $12.23 	with -march=native compiler flag 	/shared/data
40 	1x40 	4x10 	6685.74 	5935.01 	12620.75 	1.75 	no 	copied 	yes 	$.3168/hr * 1 nodes * 3.5 = $1.11 	3.168/hr * 1 nodes * 3.5 = $11 	with -march=native compiler flag 	/shared/data
72 	2x36 	8x9 	4090.80 	3549.60 	7640.40 	1.06 	no 	copied 	yes 	$.3168/hr * 2 nodes * 2.12 = $1.34 	3.168/hr * 2 nodes * 2.12 = $13.4 	with -march=native compiler flag 	/shared/data
108 	3x36 	9x12 	2912.59 	2551.08 	5463.67 	.758 	no 	copied 	yes 	$.3168/hr * 3 nodes * 1.517 = $1.44 	3.168/hr * 3 nodes * 1.517 = $14.41 	with -march=native compiler flag 	/shared/data
126 	7x18 	9x14 	2646.52 	2374.21 	5020.73 	.69 	no 	copied 	yes 	$.3168/hr * 7 nodes * 1.517 = $3.36 	3.168/hr * 7 nodes * 1.517 = $33.64 	with -march=native compiler flag 	/shared/data
144 	4x36 	12x12 	2449.39 	2177.28 	4626.67 	.64 	no 	copied 	yes 	$.3168/hr * 4 nodes * 1.285 = $1.63 	3.168/hr * 4 nodes * 1.285 = $16.28 	with -march=native compiler flag 	/shared/data
180 	5x36 	10x18 	2077.22 	1851.77 	3928.99 	.545 	no 	copied 	yes 	$.3168/hr * 5 nodes * 1.09 = $1.72 	3.168/hr * 5 nodes * 1.09 = $17.26 	with -march=native compiler flag 	/shared/data
216 	6x36 	18x12 	1908.15 	1722.07 	3630.22 	.504 	no 	copied 	yes 	$.3168/hr * 6 nodes * 1.01 = $1.92 	3.168/hr * 6 nodes * 1.01 = $19.16 	with -march=native compiler flag 	/shared/data
288 	8x36 	16x18 	1750.36 	1593.29
